Eric Daniels,1993-11-15,American,C,Inside Scorer,PVD,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,PVD,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,PVD,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,PVD,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,PVD,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,PVD,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,PVD,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,PVD,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,PVD,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,PVD,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,PVD,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,HFD,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,HFD,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,HFD,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,HFD,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,HFD,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,HFD,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,HFD,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,HFD,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,HFD,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,HFD,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,HFD,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,HFD,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,HAM,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,HAM,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,HAM,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,HAM,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,HAM,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,HAM,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,HAM,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,HAM,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,HAM,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,HAM,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,HAM,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,HAM,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,ROC,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,ROC,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,ROC,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,ROC,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,ROC,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,ROC,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,ROC,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,ROC,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,ROC,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,ROC,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,ROC,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,ROC,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,MPL,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,MPL,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,MPL,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,MPL,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,MPL,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,MPL,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,MPL,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,MPL,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,MPL,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,MPL,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,MPL,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,MPL,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,GRR,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,GRR,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,GRR,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,GRR,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,GRR,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,GRR,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,GRR,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,GRR,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,GRR,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,GRR,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,GRR,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,GRR,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,AKR,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,AKR,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,AKR,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,AKR,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,AKR,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,AKR,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,AKR,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,AKR,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,AKR,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,AKR,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,AKR,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,AKR,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,FTW,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,FTW,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,FTW,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,FTW,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,FTW,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,FTW,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,FTW,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,FTW,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,FTW,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,FTW,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,FTW,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,FTW,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,GRB,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,GRB,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,GRB,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,GRB,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
Tom Reed,1997-01-13,American,SG,Sharp Shooter,GRB,76,205,2019,2023:3800000;2024:4000000;2025:4200000;2026:4400000,70,80,88,89,57,64,48,65,70,65,67,77,75,83,85,70,66,81
David Green,1991-07-30,American,PF,Crafty Big,GRB,81,230,2013,2023:5500000;2024:5700000;2025:5900000;2026:6100000,73,77,85,86,76,68,70,74,76,72,75,70,73,79,68,72,77,74
Brian Carter,1999-03-12,American,C,Rim Protector,GRB,85,260,2021,2023:3400000;2024:3600000;2025:3800000;2026:4000000,68,64,50,78,87,78,91,80,88,66,67,54,58,75,72,69,74,66
Steven Hall,1995-10-24,American,SF,Versatile Wing,GRB,80,215,2017,2023:4700000;2024:4900000;2025:5100000;2026:5300000,72,74,77,84,80,85,80,73,75,77,78,76,77,82,84,75,71,80
Anthony Lewis,1994-06-18,American,PG,Inside Scorer,GRB,73,185,2016,2023:6300000;2024:6500000;2025:6700000;2026:6900000,69,82,80,91,65,77,55,70,68,84,80,88,85,80,79,78,82,84
Derrick Wright,1996-12-29,American,SG,Defensive Specialist,GRB,77,210,2018,2023:4100000;2024:4300000;2025:4500000;2026:4700000,66,71,73,76,72,86,82,76,67,70,72,71,73,80,87,71,68,77
Justin Barnes,1990-09-01,American,PF,Versatile Wing,GRB,83,245,2012,2023:5800000;2024:6000000;2025:6200000;2026:6400000,76,73,79,82,78,72,75,79,80,74,76,73,76,77,73,77,75,79
Kyle Robinson,1998-03-25,American,C,Rim Protector,GRB,86,265,2020,2023:3900000;2024:4100000;2025:4300000;2026:4500000,79,66,54,79,85,82,87,81,86,67,70,60,63,76,74,73,69,70
Mark Johnson,1992-04-10,American,PF,Rim Protector,FTL,82,240,2014,2023:5000000;2024:5200000;2025:5400000;2026:5600000,74,68,63,80,88,79,85,72,85,70,72,65,67,82,83,74,68,76
Eric Daniels,1993-11-15,American,C,Inside Scorer,FTL,84,255,2015,2023:4500000;2024:4700000;2025:4900000;2026:5100000,81,70,58,85,80,75,88,78,83,68,69,59,64,78,71,76,70,69
Greg White,1998-02-20,American,SF,Slasher,FTL,79,220,2020,2023:4200000;2024:4400000;2025:4600000;2026:4800000,77,75,69,82,70,72,60,69,71,75,76,80,78,86,88,79,65,78
Chris King,1996-08-05,American,PG,Floor General,FTL,74,190,2018,2023:6000000;2024:6200000;2025:6400000;2026:6600000,65,78,76,92,60,80,52,68,64,80,83,85,88,81,77,67,80,85
